VENTA_ID|CAJERO_ID|COMPRADOR_ID|FECHA_VENTA|MONTO_TOTAL|CODIGO_PRODUCTO|NOMBRE_PRODUCTO|CODIGO_FAMILIA|NOMBRE_FAMILIA|CANTIDAD
26|7|32|22/08/19 19:43:18,000000000|Q.-1500.|7802215104855|Costa Rama|4|CONFITES-GALLETAS|1,0
49|7|91|23/08/19 14:08:25,000000000|Q.4050-.|7801810712663|LIPTON YELLOW 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
49|7|399|23/08/19 14:08:25,000000000|Q.4050-.|7802575006035|CORBATAS CARO.400g.|1|OFERTAS ESPECIALES|1,0
49|7|92|23/08/19 14:08:25,000000000|Q.4050-.|7801875032010|TÉ SUPREMO 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
49|7|177|23/08/19 14:08:25,000000000|Q.4050-.|7808743601934|ACEITE MERKAT 900ml.|1|OFERTAS ESPECIALES|1,0
49|7|88|23/08/19 14:08:25,000000000|Q.4050-.|41789001260|MARUCHAN CALI.VEGETAL 64g.|1|OFERTAS ESPECIALES|1,0
69|7|6|23/08/19 21:14:38,000000000|Q.-1950.|7801810712663|LIPTON YELLOW 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
81|7|142|24/08/19 16:29:19,000000000|Q.-1200.|7801810712663|LIPTON YELLOW 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
82|7|445|24/08/19 16:31:33,000000000|Q.-2350.|7802575006035|CORBATAS CARO.400g.|1|OFERTAS ESPECIALES|1,0
82|7|156|24/08/19 16:31:33,000000000|Q.-2350.|7805000314781|KETCHUP HELLMANN`S 850g.|1|OFERTAS ESPECIALES|1,0
89|2|73|24/08/19 16:38:51,000000000|Q.2700-.|7802575006035|CORBATAS CARO.400g.|1|OFERTAS ESPECIALES|2,0
89|2|486|24/08/19 16:38:51,000000000|Q.2700-.|7801810712663|LIPTON YELLOW 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
90|2|500|24/08/19 16:39:04,000000000|Q.-1200.|7801810712663|LIPTON YELLOW 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
92|2|434|24/08/19 16:41:15,000000000|Q.-1400.|7802408005686|SUFLES PAPA FRUNA 350g.|1|OFERTAS ESPECIALES|1,0
95|2|213|24/08/19 16:55:55,000000000|Q.6600-.|7801875032010|TÉ SUPREMO 40g. 20UN.|1|OFERTAS ESPECIALES|2,0
95|2|64|24/08/19 16:55:55,000000000|Q.6600-.|7802575006035|CORBATAS CARO.400g.|1|OFERTAS ESPECIALES|5,0
96|2|471|24/08/19 16:57:03,000000000|Q.2700-.|7801875032010|TÉ SUPREMO 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
96|2|34|24/08/19 16:57:03,000000000|Q.2700-.|7802575006035|CORBATAS CARO.400g.|1|OFERTAS ESPECIALES|3,0
98|2|118|24/08/19 16:59:23,000000000|Q.5940-.|7801268001357|* TRIAL * TRIAL * T|1|OFERTAS ESPECIALES|1,0
98|2|64|24/08/19 16:59:23,000000000|Q.5940-.|21000026326|* TRIAL * TRIAL * TR|1|OFERTAS ESPECIALES|1,0
99|2|293|24/08/19 17:03:59,000000000|Q.7140-.|7801268001357|ATUN EN AGU. ALGEMO|1|OFERTAS ESPECIALES|1,0
99|2|424|24/08/19 17:03:59,000000000|Q.7140-.|21000026326|* TRIAL * TRIAL * TR|1|OFERTAS ESPECIALES|1,0
111|7|229|26/08/19 15:25:34,000000000|Q.-1850.|7805000306533|* TRIAL * TRIAL * TRIA|1|OFERTAS ESPECIALES|1,0
117|7|271|26/08/19 18:54:00,000000000|Q.3950-.|7793670000083|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|1,0
117|7|275|26/08/19 18:54:00,000000000|Q.3950-.|7801875032010|TÉ SUPREMO 40g. 20UN.|1|OFERTAS ESPECIALES|1,0
121|7|364|26/08/19 19:02:10,000000000|Q.3950-.|7801875032010|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|1,0
121|7|446|26/08/19 19:02:10,000000000|Q.3950-.|7801810712663|* TRIAL * TRIAL * TRIAL |1|OFERTAS ESPECIALES|1,0
146|7|61|27/08/19 20:04:20,000000000|Q.7500-.|2019022110015|TÉ CEYLAN PREMIUM HOMAR 200g. 100UN.|1|OFERTAS ESPECIALES|1,0
146|7|81|27/08/19 20:04:20,000000000|Q.7500-.|7802950006612|SOPA SABOR POLLO CON FIDEOS MAGGI 70g|1|OFERTAS ESPECIALES|1,0
146|7|231|27/08/19 20:04:20,000000000|Q.7500-.|7802950006575|* TRIAL * TRIAL * TRIAL * |1|OFERTAS ESPECIALES|1,0
146|7|203|27/08/19 20:04:20,000000000|Q.7500-.|7802575003843|* TRIAL * TRIAL * TRI|1|OFERTAS ESPECIALES|1,0
